"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM_REDE_SOCIAL";"DS_URL"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002018527;1;"http://www.instagram.com/robson_rog"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002016854;1;"https://www.instagram.com/fabio.mudanca/"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002015061;2;"https://www.facebook.com/matheuzinho.araujo.9"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002392372;1;"https://www.instagram.com/sebastiaosbs?igsh=ODVyenY5MWdjOGFv"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002015067;3;"https://www.tiktok.com/@fagnerdiniz22"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002015068;2;"https://www.facebook.com/search/top?q=valdenice%20anselmo%20pereira"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002341997;1;" https://www.instagram.com/heldercarvalhoadv/"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001926272;2;"https://www.facebook.com/share/fhvCTLiA8QopsPgk/?mibextid=LQQJ4d"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001926276;1;"https://www.facebook.com/share/yySBWmJKinKEkc8G/?mibextid=LQQJ4d"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001924504;1;"https://www.instagram.com/franciscadepaulass"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001960059;1;"https://www.facebook.com/roberta.trindade.1690?mibextid=LQQJ4d"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001906465;1;"https://www.instagram.com/nataliadovale2024?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001963297;1;"https://www.facebook.com/willian.vieira.90857"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002213927;1;"https://www.instagram.com/alberesbarbosadeoliveira?igsh=cngzZzc4cXI3cDI1"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001934829;1;"https://www.instagram.com/sebastiaopereiradele?igsh=dGMzdzU3dzlyYWxw"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002178875;1;"https://www.instagram.com/yago.thomaz25/"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002315484;1;"https://www.instagram.com/ramonizidro_adv?utm_source=ig_web_button_share_sheet&i"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002315484;2;"https://www.facebook.com/ramon.izidro"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002315485;1;"https://www.instagram.com/alysondemoura?utm_source=ig_web_button_share_sheet&igs"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002312738;1;"https://www.instagram.com/adriaperazzo?utm_source=ig_web_button_share_sheet&igsh"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002387334;1;"https://facebook.com/ariosvaldo"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002318375;2;"https://www.facebook.com/profile.php?id=100082629473053"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002318375;3;"https://www.facebook.com/rosiano.betel"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002318384;1;"https://www.instagram.com/sgt_francisco2024/"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002138455;1;"https://www.instagram.com/rodrigolimamdh?igsh=ZWx2dXBuazlmcmph"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002220501;1;"http://instagram.com/@razurickpessoa"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001961245;1;"https://www.instagram.com/luislacerdavrd/"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002030278;2;"https://www.instagram.com/johnnydemajor?igsh=MTU3anptN3VqMXllag=="
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002030575;1;"https://www.facebook.com/austryanee.jeronimo?mibextid=ZbWKwL."
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002240975;1;"https://www.instagram.com/nenadamalhada?igsh=MTZ2ODBoMWxoZnBqZw=="
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002011186;1;"https://www.instagram.com/relsonmedeiros?utm_source=ig_web_button_share_sheet&ig"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002042511;2;"https://www.instagram.com/alanafdcarvalho?utm_source=qr&igsh=bjY5a2owa2pveWF1"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002049345;1;"https://www.instagram.com/aureliano_artur?igsh=MXkxN2lzMjhwNjZ2dA=="
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002050941;2;"https://www.facebook.com/carlosgomes"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002190788;2;"https://www.facebook.com/ayanne.costa.7"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002247185;1;"https://www.instagram.com/valdim_ferreeira?igsh=bTY1dWlydnptZDM0"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002104164;1;"https://www.instagram.com/carlosalbertoo_"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002220160;1;"https://www.facebook.com/share/p4wvmaoucZZyT1HB/?mibextid=qi2Omg"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002214181;1;"https://www.instagram.com/cidapereira265?igsh=dTM2eHZ6ZW94ODQ5"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002036044;2;"http://www.gabibvnt.com/"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001975178;1;"https://www.instagram.com/lenaenfermeira/"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002111164;2;"https://www.facebook.com/share/GT1XLQMpvheZ3jGi/?mibextid=LQQJ4d"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002103551;1;"https://www.instagram.com/juliete_nasc/?igsh=NTA4cmN1YjU0bmht"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002036087;1;"https://www.instagram.com/jordao.oliveira40?igsh=eWFocnBlMW14d2pt"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002112831;2;"https://www.instagram.com/taniamodasf?igsh=OWluem5tYTR1NnBq"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002149904;1;"https://www.instagram.com/grandaovaldemirsilva/"
